href,Time,Type,Map,Score,Rated
/game/8892316,2023-08-14 00:32:27,ca,eviscerated,10:9,A
/game/8892261,2023-08-14 00:15:36,ca,hearth,10:6,A
/game/8892223,2023-08-14 00:02:27,ca,asylum,9:10,A
/game/8892179,2023-08-14 23:44:34,ca,overek,10:5,A
/game/8892128,2023-08-14 23:27:45,ca,quarantine,10:7,A
/game/8892086,2023-08-14 23:10:20,ca,trinity,8:10,A
/game/8892043,2023-08-14 22:49:34,ca,almostlost,10:8,A
/game/8892011,2023-08-14 22:31:49,ca,campgrounds,10:1,A
/game/8891984,2023-08-14 22:19:18,ca,asylum,10:6,A
/game/8889851,2023-08-12 23:53:54,ca,campgrounds,10:5,A
/game/8889819,2023-08-12 23:39:16,ca,overek,9:10,A
/game/8889786,2023-08-12 23:20:17,ca,almostlost,10:8,A
/game/8889753,2023-08-12 23:02:45,ca,quarantine,4:10,A
/game/8889728,2023-08-12 22:48:01,ca,trinity,7:10,A
/game/8889690,2023-08-12 22:30:11,ca,campgrounds,10:9,A
/game/8889662,2023-08-12 22:10:55,ca,deadandgone,10:4,B
/game/8889624,2023-08-12 21:46:57,ffa,railyard,50:29,B
/game/8887674,2023-08-11 23:49:15,ca,hearth,10:4,A
/game/8887645,2023-08-11 23:38:53,ca,asylum,10:9,B
/game/8887609,2023-08-11 23:23:36,ca,campgrounds,7:10,A
/game/8887566,2023-08-11 23:05:32,ca,ts_ca1,4:10,A
/game/8887534,2023-08-11 22:51:03,ca,overek,0:10,A
/game/8887514,2023-08-11 22:40:13,ca,servitude,10:8,A
/game/8887472,2023-08-11 22:19:50,ca,almostlost,1:10,A
/game/8887448,2023-08-11 22:08:13,ca,trinity,1:10,A
/game/8887427,2023-08-11 21:56:13,ca,quarantine,7:10,A
/game/8887403,2023-08-11 21:39:44,ca,campgrounds,10:6,A
/game/8887371,2023-08-11 21:22:59,ca,deadandgone,8:10,B
/game/8887019,2023-08-11 16:23:49,duel,bloodrun,3:1,A
/game/8885999,2023-08-11 01:55:39,ca,campgrounds,7:10,
/game/8885662,2023-08-10 23:31:32,ca,hearth,7:10,A
/game/8885634,2023-08-10 23:21:00,ca,deadandgone,10:9,A
/game/8885599,2023-08-10 23:04:35,ca,campgrounds,9:10,A
/game/8885558,2023-08-10 22:45:22,ca,asylum,10:8,A
/game/8885534,2023-08-10 22:32:14,ca,overek,9:10,A
/game/8885502,2023-08-10 22:13:03,ca,campgrounds,10:3,A
/game/8885471,2023-08-10 21:56:38,ca,quarantine,10:6,A
/game/8885432,2023-08-10 21:36:58,ca,trinity,10:7,A
/game/8885397,2023-08-10 21:16:58,ca,almostlost,10:5,A
/game/8885377,2023-08-10 21:03:50,ca,asylum,10:5,A
/game/8885357,2023-08-10 20:52:02,ca,deadandgone,5:10,A
/game/8885342,2023-08-10 20:40:54,ffa,longestyard,30:20,
/game/8885325,2023-08-10 20:31:37,ca,thunderstruck,6:10,
/game/8883628,2023-08-09 23:02:14,ca,trinity,8:10,A
/game/8883585,2023-08-09 22:42:02,ca,almostlost,10:6,A
/game/8883557,2023-08-09 22:26:16,ca,campgrounds,3:10,A
/game/8883531,2023-08-09 22:09:54,ca,threestory,6:10,A
/game/8883510,2023-08-09 21:54:32,ca,deadandgone,10:2,A
/game/8881975,2023-08-09 01:11:01,ca,deadandgone,9:10,
/game/8879782,2023-08-07 23:49:02,ca,asylum,4:10,A
/game/8879763,2023-08-07 23:38:07,ca,overek,10:7,A
/game/8879733,2023-08-07 23:21:48,ca,campgrounds,10:8,A
/game/8879681,2023-08-07 23:01:10,ca,quarantine,10:5,A
/game/8879636,2023-08-07 22:41:53,ca,trinity,9:10,A
/game/8879593,2023-08-07 22:18:55,ca,almostlost,8:10,A
/game/8879563,2023-08-07 22:01:09,ca,campgrounds,5:10,A
/game/8879523,2023-08-07 21:43:13,ca,smash,10:6,A
/game/8879500,2023-08-07 21:30:04,ca,ra3map17c,9:10,B
/game/8879466,2023-08-07 21:12:16,ca,hearth,2:10,A
/game/8879449,2023-08-07 21:03:10,ca,asylum,10:4,A
/game/8879429,2023-08-07 20:51:36,ca,deadandgone,10:5,A
/game/8877926,2023-08-07 00:22:34,ca,deadandgone,9:10,B
/game/8877906,2023-08-07 00:11:39,ca,hiddenfortress,7:10,A
/game/8877866,2023-08-06 23:55:32,ca,overek,1:10,A
/game/8877836,2023-08-06 23:44:21,ca,ts_ca1,10:9,A
/game/8877791,2023-08-06 23:23:26,ca,trinity,10:5,A
/game/8877763,2023-08-06 23:08:38,ca,almostlost,10:8,A
/game/8877735,2023-08-06 22:52:43,ca,quarantine,5:10,A
/game/8877707,2023-08-06 22:36:17,ca,campgrounds,4:10,A
/game/8877684,2023-08-06 22:19:38,ca,okremix,10:7,A
/game/8877647,2023-08-06 22:01:01,ca,corrosion,10:8,A
/game/8877604,2023-08-06 21:34:14,ca,servitude,10:4,A
/game/8877576,2023-08-06 21:13:54,ca,trinity,10:7,A
/game/8877547,2023-08-06 20:51:05,ca,asylum,10:4,A
/game/8877526,2023-08-06 20:38:06,ca,deadandgone,5:10,A
/game/8877315,2023-08-06 18:13:37,ca,almostlost,8:10,
/game/8877302,2023-08-06 18:04:15,ca,campgrounds,10:3,A
/game/8877287,2023-08-06 17:55:00,ca,trinity,10:7,A
/game/8877268,2023-08-06 17:40:21,ca,hearth,9:10,A
/game/8877253,2023-08-06 17:29:05,ca,asylum,10:6,A
/game/8877234,2023-08-06 17:18:00,ca,deadandgone,10:8,B
/game/8875935,2023-08-06 00:47:24,ca,asylum,10:7,B
/game/8875902,2023-08-06 00:35:41,ca,ra3map17c,10:6,B
/game/8875877,2023-08-06 00:25:28,ca,deadandgone,10:4,B
/game/8875853,2023-08-06 00:15:25,ca,hearth,7:10,B
/game/8875829,2023-08-06 00:01:34,ffa,railyard,50:42,B
/game/8875809,2023-08-05 23:52:36,ca,asylum,10:5,B
/game/8875786,2023-08-05 23:41:56,ca,ra3map19b,10:9,A
/game/8875758,2023-08-05 23:26:39,ca,hiddenfortress,6:10,A
/game/8875726,2023-08-05 23:07:22,ca,almostlost,3:10,A
/game/8875704,2023-08-05 22:53:59,ca,servitude,4:10,A
/game/8875685,2023-08-05 22:38:28,ca,campgrounds,6:10,A
/game/8875659,2023-08-05 22:19:45,ca,quarantine,10:0,A
/game/8875644,2023-08-05 22:06:22,ca,trinity,9:10,A
/game/8875601,2023-08-05 21:42:51,ffa,railyard,50:33,B
/game/8875580,2023-08-05 21:29:55,ca,deadandgone,8:10,B
/game/8875522,2023-08-05 20:53:56,ca,thunderstruck,10:8,
/game/8873690,2023-08-05 00:27:44,ca,asylum,7:10,B
/game/8873654,2023-08-05 00:13:43,ca,almostlost,10:6,A
/game/8873622,2023-08-04 23:58:33,ca,theatreofpain,10:4,A
/game/8873584,2023-08-04 23:40:06,ca,okremix,5:10,A
/game/8873555,2023-08-04 23:25:32,ca,servitude,4:10,A
/game/8873517,2023-08-04 23:08:20,ca,quarantine,7:10,A
/game/8873473,2023-08-04 22:46:03,ca,corrosion,10:4,A
/game/8873439,2023-08-04 22:27:06,ca,campgrounds,6:10,A
/game/8873417,2023-08-04 22:10:30,ca,trinity,10:6,A
/game/8873391,2023-08-04 21:50:48,ca,ra3map19b,10:8,A
/game/8873363,2023-08-04 21:35:12,ffa,railyard,50:47,B
/game/8871694,2023-08-04 00:28:28,ca,ra3map19b,10:3,A
/game/8871654,2023-08-04 00:16:13,ca,almostlost,10:6,A
/game/8871615,2023-08-03 23:58:54,ca,ts_ca1,4:10,A
/game/8871580,2023-08-03 23:42:24,ca,trinity,10:8,A
/game/8871535,2023-08-03 23:19:38,ca,servitude,10:7,A
/game/8871492,2023-08-03 22:58:37,ca,okremix,6:10,A
/game/8871460,2023-08-03 22:40:43,ca,corrosion,5:10,A
/game/8871431,2023-08-03 22:23:04,ca,quarantine,2:10,A
/game/8871400,2023-08-03 22:09:16,ca,campgrounds,8:10,A
/game/8871369,2023-08-03 21:49:28,ca,asylum,6:10,B
/game/8871336,2023-08-03 21:33:56,ca,deadandgone,10:1,B
/game/8871283,2023-08-03 21:03:08,ca,thunderstruck,3:10,
/game/8871245,2023-08-03 20:38:07,duel,bloodrun,7:-999,A
/game/8869657,2023-08-02 23:27:35,ca,ra3map19b,10:2,A
/game/8869635,2023-08-02 23:16:30,ca,hiddenfortress,10:5,A
/game/8869605,2023-08-02 23:02:49,ca,almostlost,10:5,A
/game/8869576,2023-08-02 22:49:07,ca,overek,10:3,A
/game/8869546,2023-08-02 22:33:28,ca,servitude,10:7,A
/game/8869509,2023-08-02 22:15:27,ca,campgrounds,10:6,A
/game/8869476,2023-08-02 21:58:59,ca,trinity,10:2,A
/game/8869456,2023-08-02 21:47:45,ca,almostlost,4:10,A
/game/8869435,2023-08-02 21:35:01,ca,quarantine,10:7,A
/game/8869403,2023-08-02 21:14:42,ca,campgrounds,10:6,A
/game/8869367,2023-08-02 20:55:43,ca,hearth,10:7,A
/game/8869345,2023-08-02 20:35:40,ca,deadandgone,10:2,A
/game/8867919,2023-08-02 00:31:35,ca,ra3map19b,9:10,A
/game/8867882,2023-08-02 00:15:02,ca,asylum,10:8,A
/game/8867849,2023-08-01 23:59:07,ca,campgrounds,7:10,A
/game/8867817,2023-08-01 23:41:25,ca,quarantine,5:10,A
/game/8867791,2023-08-01 23:25:55,ca,trinity,8:10,A
/game/8867761,2023-08-01 23:05:57,ca,almostlost,7:10,A
/game/8867731,2023-08-01 22:48:17,ca,quarantine,10:6,A
/game/8867692,2023-08-01 22:28:03,ca,asylum,5:10,A
/game/8867661,2023-08-01 22:11:22,ca,campgrounds,6:10,A
/game/8867627,2023-08-01 21:52:09,ca,deadandgone,10:5,A
/game/8867604,2023-08-01 21:38:22,ca,hearth,6:10,A
/game/8867500,2023-08-01 20:44:59,ca,thunderstruck,10:6,
/game/8865816,2023-07-31 22:46:33,ca,almostlost,10:7,A
/game/8865790,2023-07-31 22:33:17,ca,campgrounds,10:5,A
/game/8865761,2023-07-31 22:19:15,ca,drunkenmummy,6:10,A
/game/8865746,2023-07-31 22:09:35,ca,deadandgone,7:10,A
/game/8865710,2023-07-31 21:48:50,ca,hearth,3:10,A
/game/8865680,2023-07-31 21:31:38,ca,asylum,5:10,A
/game/8865655,2023-07-31 21:15:19,ca,drunkenmummy,6:10,A
/game/8865642,2023-07-31 21:05:41,ca,thunderstruck,10:5,A
/game/8864130,2023-07-30 23:46:22,ca,asylum,9:10,A
/game/8864104,2023-07-30 23:33:46,ca,trinity,10:1,A
/game/8864075,2023-07-30 23:21:22,ca,almostlost,8:10,A
/game/8864047,2023-07-30 23:05:59,ca,ts_ca1,10:8,A
/game/8864009,2023-07-30 22:45:19,ca,corrosion,7:10,A
/game/8863969,2023-07-30 22:25:56,ca,servitude,10:6,A
/game/8863928,2023-07-30 22:03:52,ca,okremix,10:2,A
/game/8863900,2023-07-30 21:50:54,ca,quarantine,9:10,A
/game/8863857,2023-07-30 21:28:13,ca,campgrounds,10:8,A
/game/8863825,2023-07-30 21:09:25,ca,trinity,10:4,A
/game/8863807,2023-07-30 20:56:12,ca,asylum,8:10,A
/game/8863522,2023-07-30 17:21:15,duel,maido,18:16,
/game/8863513,2023-07-30 17:14:08,ca,deadandgone,10:6,A
/game/8863492,2023-07-30 16:58:42,ffa,longestyard,30:17,
/game/8863478,2023-07-30 16:50:45,ca,thunderstruck,4:10,
/game/8862297,2023-07-30 01:31:27,ca,hiddenfortress,7:10,A
/game/8862261,2023-07-30 01:15:19,ca,overek,10:7,A
/game/8862229,2023-07-30 01:02:32,ca,asylum,7:10,A
/game/8862200,2023-07-30 00:50:00,ca,trinity,8:10,A
/game/8862157,2023-07-30 00:30:32,ca,almostlost,10:9,A
/game/8862120,2023-07-30 00:13:00,ca,campgrounds,10:3,A
/game/8862086,2023-07-29 23:58:44,ca,ts_ca1,10:7,A
/game/8862047,2023-07-29 23:40:01,ca,corrosion,8:10,A
/game/8862007,2023-07-29 23:18:42,ca,okremix,9:10,A
/game/8861976,2023-07-29 23:00:16,ca,servitude,9:10,A
/game/8861938,2023-07-29 22:41:05,ca,quarantine,4:10,A
/game/8861905,2023-07-29 22:23:52,ca,ra3map19b,8:10,A
/game/8861884,2023-07-29 22:09:26,ca,almostlost,10:7,A
/game/8861856,2023-07-29 21:52:35,ca,campgrounds,5:10,A
/game/8861835,2023-07-29 21:39:13,ca,trinity,10:4,A
/game/8861817,2023-07-29 21:26:08,ca,asylum,5:10,A
/game/8860108,2023-07-28 23:44:42,ca,trinity,10:7,A
/game/8860074,2023-07-28 23:27:15,ca,seamsandbolts,7:10,A
/game/8860043,2023-07-28 23:10:53,ca,ra3map19b,10:3,A
/game/8860020,2023-07-28 22:58:44,ca,asylum,4:10,A
/game/8859995,2023-07-28 22:46:37,ca,overek,6:10,A
/game/8859963,2023-07-28 22:30:43,ca,trinity,7:10,A
/game/8859926,2023-07-28 22:07:51,ca,quarantine,10:7,A
/game/8859900,2023-07-28 21:49:41,ca,almostlost,5:10,A
/game/8859871,2023-07-28 21:34:42,ca,campgrounds,8:10,A
/game/8859843,2023-07-28 21:16:19,ca,ra3map17c,10:7,B
/game/8859817,2023-07-28 21:03:44,ca,deadandgone,10:4,A
/game/8859797,2023-07-28 20:52:54,duel,bloodrun,4:3,A
/game/8858094,2023-07-27 22:17:20,ca,deadandgone,10:2,A
/game/8858076,2023-07-27 22:05:05,ca,quarantine,5:10,A
/game/8858050,2023-07-27 21:46:15,ca,trinity,3:10,A
/game/8858030,2023-07-27 21:32:15,ca,almostlost,10:7,A
/game/8858011,2023-07-27 21:17:37,ca,asylum,7:10,A
/game/8857994,2023-07-27 21:01:39,ca,overek,9:10,A
/game/8857974,2023-07-27 20:44:15,ca,asylum,10:8,A
/game/8856240,2023-07-26 21:21:54,ca,almostlost,10:4,A
/game/8856218,2023-07-26 21:06:22,ca,campgrounds,9:10,A
/game/8856189,2023-07-26 20:44:15,ca,asylum,7:10,A
/game/8856169,2023-07-26 20:30:32,ca,hearth,9:10,A
/game/8856152,2023-07-26 20:18:38,ca,deadandgone,10:4,A
/game/8856139,2023-07-26 20:04:21,ca,thunderstruck,10:6,
/game/8851186,2023-07-24 00:49:22,ca,overek,10:7,A
/game/8851145,2023-07-24 00:33:00,ca,quarantine,10:7,A
/game/8851098,2023-07-24 00:14:51,ca,almostlost,10:7,A
/game/8851067,2023-07-23 23:57:26,ca,ts_ca1,3:10,A
/game/8851031,2023-07-23 23:40:50,ca,corrosion,7:10,A
/game/8850992,2023-07-23 23:22:02,ca,servitude,10:9,A
/game/8850945,2023-07-23 23:03:39,ca,okremix,10:7,A
/game/8850907,2023-07-23 22:44:45,ca,campgrounds,6:10,A
/game/8850877,2023-07-23 22:28:58,ca,quarantine,10:9,A
/game/8850838,2023-07-23 22:10:08,ca,trinity,8:10,A
