href,Time,Type,Map,Score,Rated
/game/8537233,2023-02-03 06:49:35,duel,bloodrun,3:2,A
/game/8537217,2023-02-03 06:38:25,duel,bloodrun,14:2,A
/game/8537205,2023-02-03 06:27:44,duel,bloodrun,9:5,A
/game/8537190,2023-02-03 06:15:17,duel,bloodrun,5:-999,A
/game/8537173,2023-02-03 06:00:59,duel,bloodrun,5:-999,A
/game/8537160,2023-02-03 05:50:27,duel,bloodrun,4:-999,A
/game/8537145,2023-02-03 05:40:58,duel,bloodrun,5:-999,A
/game/8536952,2023-02-03 03:38:28,duel,bloodrun,5:-999,A
/game/8536944,2023-02-03 03:35:54,duel,bloodrun,5:-999,A
/game/8536885,2023-02-03 03:07:11,duel,bloodrun,6:-999,A
/game/8536877,2023-02-03 03:03:01,duel,bloodrun,4:3,A
/game/8536839,2023-02-03 02:46:50,duel,bloodrun,8:-999,A
/game/8536819,2023-02-03 02:38:24,duel,bloodrun,8:5,A
/game/8536793,2023-02-03 02:27:34,duel,bloodrun,8:-999,A
/game/8536761,2023-02-03 02:14:06,duel,bloodrun,12:9,A
/game/8536415,2023-02-02 23:40:18,duel,bloodrun,3:-999,A
/game/8536387,2023-02-02 23:23:01,duel,bloodrun,3:-999,A
/game/8536356,2023-02-02 23:10:35,ca,hiddenfortress,10:6,A
/game/8536327,2023-02-02 22:56:24,ca,quarantine,4:10,A
/game/8536292,2023-02-02 22:40:37,ca,trinity,5:10,A
/game/8536261,2023-02-02 22:23:51,ca,campgrounds,5:10,A
/game/8536231,2023-02-02 22:06:00,ca,servitude,9:10,A
/game/8536202,2023-02-02 21:49:25,ca,overek,10:9,A
/game/8536179,2023-02-02 21:32:39,ca,asylum,2:10,A
/game/8536168,2023-02-02 21:23:28,ca,almostlost,7:10,A
/game/8536148,2023-02-02 21:07:09,ca,asylum,10:4,B
/game/8536137,2023-02-02 20:57:30,ca,thunderstruck,10:7,
/game/8535944,2023-02-02 17:39:47,duel,bloodrun,6:-999,A
/game/8535938,2023-02-02 17:29:14,duel,bloodrun,5:-999,A
/game/8535931,2023-02-02 17:19:53,duel,bloodrun,6:2,A
/game/8535921,2023-02-02 17:05:23,duel,bloodrun,0:-999,A
/game/8535907,2023-02-02 16:50:24,duel,bloodrun,6:4,A
/game/8535900,2023-02-02 16:40:00,duel,bloodrun,4:-999,A
/game/8535897,2023-02-02 16:37:38,duel,bloodrun,3:2,A
/game/8535888,2023-02-02 16:26:18,duel,bloodrun,4:-999,A
/game/8535885,2023-02-02 16:22:26,duel,bloodrun,5:4,A
/game/8535875,2023-02-02 16:07:55,duel,bloodrun,5:-999,A
/game/8535866,2023-02-02 15:57:07,duel,bloodrun,7:4,A
/game/8535852,2023-02-02 15:45:13,duel,bloodrun,4:2,A
/game/8535840,2023-02-02 15:33:19,duel,bloodrun,5:-999,A
/game/8534678,2023-02-01 23:30:36,ca,hiddenfortress,8:10,A
/game/8534650,2023-02-01 23:14:29,ca,trinity,6:10,A
/game/8534620,2023-02-01 22:58:22,ca,almostlost,7:10,A
/game/8534599,2023-02-01 22:42:29,ca,quarantine,10:5,A
/game/8534581,2023-02-01 22:26:36,ca,campgrounds,6:10,A
/game/8534552,2023-02-01 22:05:41,ca,overek,10:7,A
/game/8534535,2023-02-01 21:49:39,ca,asylum,5:10,B
/game/8534523,2023-02-01 21:37:58,ca,ra3map13b,10:9,
/game/8533515,2023-02-01 04:00:47,duel,bloodrun,14:4,A
/game/8533494,2023-02-01 03:49:20,duel,sinister,6:-999,A
/game/8533471,2023-02-01 03:36:07,duel,bloodrun,5:-999,A
/game/8533424,2023-02-01 03:14:15,duel,bloodrun,5:2,A
/game/8533390,2023-02-01 02:58:37,duel,bloodrun,2:1,A
/game/8533338,2023-02-01 02:36:53,duel,bloodrun,5:-999,A
/game/8533318,2023-02-01 02:28:12,duel,bloodrun,7:-999,A
/game/8532769,2023-01-31 22:35:26,ca,ra3map13b,7:10,
/game/8532755,2023-01-31 22:27:15,ca,thunderstruck,5:10,
/game/8532734,2023-01-31 22:13:32,ca,overek,10:8,A
/game/8532714,2023-01-31 21:57:48,ca,almostlost,7:10,A
/game/8532694,2023-01-31 21:44:02,ca,hearth,10:5,B
/game/8532666,2023-01-31 21:18:21,ca,asylum,6:10,B
/game/8532654,2023-01-31 21:07:03,ca,deadandgone,10:9,
/game/8532644,2023-01-31 20:54:14,ffa,railyard,50:28,
/game/8532631,2023-01-31 20:39:30,ca,ra3map17b,2:10,
/game/8532625,2023-01-31 20:33:55,ca,ra3map4b,10:9,
/game/8532443,2023-01-31 17:19:50,duel,bloodrun,7:-999,A
/game/8532434,2023-01-31 17:13:17,duel,bloodrun,5:3,A
/game/8531571,2023-01-31 03:18:43,duel,bloodrun,8:4,A
/game/8531548,2023-01-31 03:07:15,duel,bloodrun,3:-999,A
/game/8531533,2023-01-31 02:59:28,duel,bloodrun,5:-999,A
/game/8531507,2023-01-31 02:48:45,duel,bloodrun,4:2,A
/game/8531477,2023-01-31 02:36:52,duel,bloodrun,3:2,A
/game/8531449,2023-01-31 02:25:30,duel,bloodrun,3:2,A
/game/8531416,2023-01-31 02:13:22,duel,bloodrun,8:6,A
/game/8531374,2023-01-31 01:58:26,duel,bloodrun,3:-999,A
/game/8531349,2023-01-31 01:46:07,duel,bloodrun,5:-999,A
/game/8531306,2023-01-31 01:28:44,duel,bloodrun,4:-999,A
/game/8530788,2023-01-30 20:52:28,ca,thunderstruck,10:8,
/game/8529283,2023-01-30 00:33:11,duel,bloodrun,5:-999,A
/game/8529261,2023-01-30 00:22:19,ca,campgrounds,5:10,A
/game/8529232,2023-01-30 00:07:40,ca,almostlost,10:6,A
/game/8529201,2023-01-29 23:55:03,ca,servitude,10:8,A
/game/8529153,2023-01-29 23:35:28,ca,overek,9:10,A
/game/8529113,2023-01-29 23:18:31,ca,trinity,8:10,A
/game/8529067,2023-01-29 23:00:33,ca,asylum,10:8,A
/game/8529034,2023-01-29 22:45:58,ca,almostlost,10:8,A
/game/8529010,2023-01-29 22:32:33,ca,quarantine,10:8,A
/game/8528976,2023-01-29 22:14:46,ca,hiddenfortress,4:10,A
/game/8528944,2023-01-29 22:01:00,ca,overek,10:5,A
/game/8528920,2023-01-29 21:47:31,ca,campgrounds,8:10,A
/game/8528885,2023-01-29 21:30:07,ca,almostlost,10:6,A
/game/8528865,2023-01-29 21:17:10,ca,trinity,8:10,A
/game/8528841,2023-01-29 21:01:13,ca,quarantine,6:10,A
/game/8528818,2023-01-29 20:44:23,ca,servitude,3:10,A
/game/8528803,2023-01-29 20:30:30,ca,campgrounds,2:10,A
/game/8528419,2023-01-29 16:38:51,duel,maido,14:13,
/game/8528399,2023-01-29 16:26:39,ca,drunkenmummy,8:10,
/game/8528390,2023-01-29 16:16:28,ca,smash,10:9,
/game/8528381,2023-01-29 16:06:27,ca,deadandgone,2:10,
/game/8528375,2023-01-29 15:59:59,ca,hellsgate,10:9,
/game/8528368,2023-01-29 15:51:32,ca,thunderstruck,5:10,
/game/8527195,2023-01-29 01:44:18,ca,hearth,3:10,A
/game/8527163,2023-01-29 01:32:56,ca,ra3map17c,10:6,A
/game/8527141,2023-01-29 01:23:32,ca,deadandgone,2:10,A
/game/8527119,2023-01-29 01:13:16,ca,quarantine,7:10,A
/game/8527077,2023-01-29 00:56:53,ca,campgrounds,6:10,A
/game/8527033,2023-01-29 00:40:57,ca,asylum,7:10,A
/game/8527001,2023-01-29 00:26:55,ca,hiddenfortress,1:10,A
/game/8526975,2023-01-29 00:15:49,ca,almostlost,6:10,A
/game/8526946,2023-01-29 00:03:00,ca,overek,10:7,A
/game/8526905,2023-01-28 23:46:05,ca,trinity,4:10,A
/game/8526877,2023-01-28 23:31:37,ca,quarantine,7:10,A
/game/8526835,2023-01-28 23:13:14,ca,servitude,7:10,A
/game/8526800,2023-01-28 22:54:28,ca,campgrounds,2:10,A
/game/8526773,2023-01-28 22:39:07,ca,almostlost,6:10,A
/game/8526757,2023-01-28 22:25:19,ca,overek,10:9,A
/game/8526729,2023-01-28 22:04:30,ca,quarantine,10:8,A
/game/8526692,2023-01-28 21:41:09,ca,trinity,2:10,A
/game/8526670,2023-01-28 21:26:31,ca,servitude,6:10,A
/game/8526631,2023-01-28 21:03:27,ca,almostlost,10:5,A
/game/8526609,2023-01-28 20:50:05,ca,campgrounds,1:10,A
/game/8526586,2023-01-28 20:35:33,ca,asylum,8:10,A
/game/8526556,2023-01-28 20:19:37,ca,thunderstruck,10:3,
/game/8526319,2023-01-28 18:03:09,duel,bloodrun,15:-999,A
/game/8526295,2023-01-28 17:52:33,duel,bloodrun,10:-999,A
/game/8524825,2023-01-28 00:45:08,ca,drunkenmummy,10:6,A
/game/8524796,2023-01-28 00:34:19,ca,hearth,10:5,
/game/8524773,2023-01-28 00:26:24,ca,deadandgone,7:10,B
/game/8524747,2023-01-28 00:14:51,ca,asylum,10:9,A
/game/8524712,2023-01-27 23:59:24,ca,trinity,8:10,A
/game/8524664,2023-01-27 23:38:20,ca,campgrounds,10:6,A
/game/8524627,2023-01-27 23:17:04,ca,quarantine,10:8,A
/game/8524574,2023-01-27 22:51:21,ca,trinity,9:10,A
/game/8524528,2023-01-27 22:29:20,ca,corrosion,7:10,A
/game/8524496,2023-01-27 22:10:59,ca,okremix,10:6,A
/game/8524467,2023-01-27 21:55:07,ca,servitude,10:9,A
/game/8524438,2023-01-27 21:35:02,ca,campgrounds,7:10,A
/game/8524414,2023-01-27 21:17:27,ca,overek,10:6,A
/game/8524390,2023-01-27 21:02:26,ca,ra3map17c,7:10,B
/game/8524367,2023-01-27 20:48:22,ca,deadandgone,7:10,B
/game/8524351,2023-01-27 20:35:59,ca,thunderstruck,2:10,
/game/8523572,2023-01-27 06:27:22,duel,bloodrun,9:2,A
/game/8523550,2023-01-27 06:12:28,duel,bloodrun,8:6,A
/game/8523522,2023-01-27 05:54:06,duel,bloodrun,6:5,A
/game/8523312,2023-01-27 03:48:34,duel,bloodrun,4:-999,A
/game/8523255,2023-01-27 03:22:27,duel,bloodrun,5:-999,A
/game/8523207,2023-01-27 02:57:54,duel,bloodrun,6:-999,A
/game/8523189,2023-01-27 02:52:21,duel,bloodrun,7:-999,A
/game/8523157,2023-01-27 02:40:53,duel,bloodrun,6:-999,A
/game/8523142,2023-01-27 02:31:40,duel,bloodrun,4:-999,A
/game/8523123,2023-01-27 02:27:40,duel,bloodrun,9:4,A
/game/8522648,2023-01-26 23:21:09,ca,thunderstruck,8:10,
/game/8522624,2023-01-26 23:09:28,ca,campgrounds,8:10,A
/game/8522588,2023-01-26 22:52:35,ca,overek,10:5,A
/game/8522568,2023-01-26 22:40:21,ca,asylum,9:10,B
/game/8522536,2023-01-26 22:19:38,ca,thunderstruck,10:6,
/game/8522520,2023-01-26 22:09:28,ca,deadandgone,7:10,
/game/8522503,2023-01-26 21:55:57,ca,trinity,10:9,A
/game/8522478,2023-01-26 21:32:55,ca,asylum,6:10,A
/game/8522461,2023-01-26 21:15:26,ca,campgrounds,5:10,A
/game/8522446,2023-01-26 21:00:59,ca,overek,10:7,A
/game/8522430,2023-01-26 20:45:18,ca,servitude,10:8,A
/game/8522411,2023-01-26 20:28:00,ca,quarantine,6:10,A
/game/8522392,2023-01-26 20:11:30,ca,almostlost,8:10,A
/game/8522376,2023-01-26 19:57:04,ca,trinity,6:10,A
/game/8522355,2023-01-26 19:42:06,ca,campgrounds,2:10,A
/game/8522145,2023-01-26 15:27:42,duel,bloodrun,11:4,A
/game/8522136,2023-01-26 15:14:54,duel,bloodrun,20:6,A
/game/8522131,2023-01-26 15:01:56,duel,bloodrun,23:-999,A
/game/8522124,2023-01-26 14:50:47,duel,bloodrun,13:8,A
/game/8522118,2023-01-26 14:39:53,duel,bloodrun,13:12,A
/game/8522114,2023-01-26 14:28:24,duel,bloodrun,10:5,A
/game/8522109,2023-01-26 14:14:18,duel,bloodrun,19:5,A
/game/8521444,2023-01-26 03:32:44,duel,bloodrun,4:3,A
/game/8521417,2023-01-26 03:19:17,duel,bloodrun,5:-999,A
/game/8521397,2023-01-26 03:09:42,duel,bloodrun,6:-999,A
/game/8521346,2023-01-26 02:51:20,duel,bloodrun,5:2,A
/game/8521317,2023-01-26 02:39:46,duel,bloodrun,3:-999,A
/game/8521037,2023-01-26 00:45:08,ca,deadandgone,6:10,B
/game/8521001,2023-01-26 00:31:03,ca,hiddenfortress,10:3,A
/game/8520973,2023-01-26 00:17:14,ca,asylum,10:9,A
/game/8520938,2023-01-26 00:00:11,ca,almostlost,10:7,A
/game/8520903,2023-01-25 23:45:03,ca,quarantine,8:10,A
/game/8520867,2023-01-25 23:25:23,ca,servitude,8:10,A
/game/8520827,2023-01-25 23:04:29,ca,campgrounds,10:9,A
/game/8520791,2023-01-25 22:41:33,ca,almostlost,5:10,A
/game/8520768,2023-01-25 22:28:35,ca,hearth,10:2,A
/game/8520753,2023-01-25 22:18:24,ffa,railyard,50:44,B
/game/8520707,2023-01-25 21:50:37,ca,trinity,10:5,A
/game/8520686,2023-01-25 21:36:44,ca,asylum,7:10,A
/game/8520667,2023-01-25 21:22:26,ca,overek,10:2,A
/game/8520649,2023-01-25 21:09:57,ca,deadandgone,10:8,A
/game/8520626,2023-01-25 20:51:05,ca,campgrounds,10:6,A
